tHat	logLikelihood	chrom	boundary
6	-44438.6950627412	3L	5e+05
13	-34611.3250859932	3L	1200000
19	-29417.7656875799	3L	1800000
25	-27049.4382315113	3L	2400000
32	-25626.630429995	3L	3100000
38	-24459.2504764063	3L	3700000
44	-23761.8559996143	3L	4300000
55	-23089.7341722464	3L	5400000
62	-22487.5738811686	3L	6100000
70	-21914.2947398304	3L	6900000
78	-21441.794975517	3L	7700000
86	-20987.7294405627	3L	8500000
94	-20541.2588181023	3L	9300000
99	-20100.3961342856	3L	9800000
107	-19688.4787936416	3L	10600000
112	-19386.5672833604	3L	11100000
116	-19106.5966537402	3L	11500000
128	-18835.442395046	3L	12700000
140	-18579.7330503604	3L	13900000
148	-18336.7189362799	3L	14700000
160	-18130.0988615613	3L	15900000
168	-17935.8748096688	3L	16700000
179	-17747.962502235	3L	17800000
188	-17568.1580538895	3L	18700000
196	-17412.3004349675	3L	19500000
204	-17262.2133193166	3L	20300000
217	-17115.5545571843	3L	21600000
230	-16978.548609241	3L	22900000
282	-16845.8329394277	3L	28100000
